,Question ID,Participant ID,Description,Answer,Correct Answer,Question Type,Prompt Condition,Answer Index,Correct Answer Index,Correctness,Order Difference
382,Q594,5ea171c1a8782801263e7540,"Our app collects: the user's music files.

 Select the user data type that best fits the data collected or shared by your app.",Audio Files,Audio Files,2,1,6,6,1,0
417,Q599,60e89af0e29741df45bbef1f,"Our app collects: attendees of the user's calendar events.

 Select the user data type that best fits the data collected or shared by your app.",Calendar,Calendar,2,1,8,8,1,0
441,Q603,60e89af0e29741df45bbef1f,"Our app collects: information about the user's contact recency.

 Select the user data type that best fits the data collected or shared by your app.",Contacts,Contacts,2,1,9,9,1,0
454,Q605,5ea171c1a8782801263e7540,"Our app collects: information related to the user's  interaction duration with their contacts.

 Select the user data type that best fits the data collected or shared by your app.",Contacts,Contacts,2,1,9,9,1,0
459,Q606,60e89af0e29741df45bbef1f,"Our app collects: the user's call history.

 Select the user data type that best fits the data collected or shared by your app.",None of the Above,Contacts,2,1,14,9,0,1
466,Q607,5ea171c1a8782801263e7540,"Our app collects: number of page views by the user in the app.

 Select the user data type that best fits the data collected or shared by your app.",App Activity,App Activity,2,1,10,10,1,0
531,Q618,60e89af0e29741df45bbef1f,"Our app collects: battery life when app is in use.

 Select the user data type that best fits the data collected or shared by your app.",App Information and Performance,App Information and Performance,2,1,12,12,1,0
544,Q620,5ea171c1a8782801263e7540,"Our app collects: the app's framerate.

 Select the user data type that best fits the data collected or shared by your app.",App Activity,App Information and Performance,2,1,10,12,0,-1
562,Q623,5ea171c1a8782801263e7540,"Our app collects: IMEI number.

 Select the user data type that best fits the data collected or shared by your app.",Location,Device or Other Identifiers,2,1,0,13,0,-1
597,Q869,60e89af0e29741df45bbef1f,"Data usage scenario: Our map app utilizes the user's location data to get real-time traffic updates. 

Why is this user data collected? Choose the most precise answer.",App functionality,App functionality,3,1,0,0,1,0
598,Q869,5ea171c1a8782801263e7540,"Data usage scenario: Our map app utilizes the user's location data to get real-time traffic updates. 

Why is this user data collected? Choose the most precise answer.",App functionality,App functionality,3,1,0,0,1,0
603,Q872,60e89af0e29741df45bbef1f,"Data usage scenario: Our app collects the user's email address for log-in purposes. 

Why is this user data collected? Choose the most precise answer.",Account management,App functionality,3,1,6,0,0,1
604,Q872,5ea171c1a8782801263e7540,"Data usage scenario: Our app collects the user's email address for log-in purposes. 

Why is this user data collected? Choose the most precise answer.",Account management,App functionality,3,1,6,0,0,1
609,Q873,60e89af0e29741df45bbef1f,"Data usage scenario: Our app collects information required to discern how many users utilized the real-time weather forecasting feature of the app.

Why is this user data collected? Choose the most precise answer.",Analytics,Analytics,3,1,1,1,1,0
610,Q873,5ea171c1a8782801263e7540,"Data usage scenario: Our app collects information required to discern how many users utilized the real-time weather forecasting feature of the app.

Why is this user data collected? Choose the most precise answer.",Analytics,Analytics,3,1,1,1,1,0
615,Q874,60e89af0e29741df45bbef1f,"Data usage scenario: Our app collects data in order to monitor how often the app crashes and what events trigger crashes.

Why is this user data collected? Choose the most precise answer.",App functionality,Analytics,3,1,0,1,0,-1
616,Q874,5ea171c1a8782801263e7540,"Data usage scenario: Our app collects data in order to monitor how often the app crashes and what events trigger crashes.

Why is this user data collected? Choose the most precise answer.",Analytics,Analytics,3,1,1,1,1,0
621,Q875,60e89af0e29741df45bbef1f,"Data usage scenario: Our app collects and utilizes user email addresses in order to send announcements about new app features.

Why is this user data collected? Choose the most precise answer.",Developer communications,Developer communications,3,1,2,2,1,0
622,Q875,5ea171c1a8782801263e7540,"Data usage scenario: Our app collects and utilizes user email addresses in order to send announcements about new app features.

Why is this user data collected? Choose the most precise answer.",App functionality,Developer communications,3,1,0,2,0,-1
627,Q876,60e89af0e29741df45bbef1f,"Data usage scenario: Our app collects user contact information to inform users about security patches.

Why is this user data collected? Choose the most precise answer.",Developer communications,Developer communications,3,1,2,2,1,0
628,Q876,5ea171c1a8782801263e7540,"Data usage scenario: Our app collects user contact information to inform users about security patches.

Why is this user data collected? Choose the most precise answer.","Fraud prevention, security, and compliance",Developer communications,3,1,4,2,0,1
633,Q877,60e89af0e29741df45bbef1f,"Data usage scenario: Our shopping app collects user email addresses in order to send users coupons.

Why is this user data collected? Choose the most precise answer.",Advertising or marketing,Advertising or marketing,3,1,3,3,1,0
634,Q877,5ea171c1a8782801263e7540,"Data usage scenario: Our shopping app collects user email addresses in order to send users coupons.

Why is this user data collected? Choose the most precise answer.",Advertising or marketing,Advertising or marketing,3,1,3,3,1,0
639,Q878,60e89af0e29741df45bbef1f,"Data usage scenario: Our app shares the user's information with advertising partners to select ads of interest to each user. 

Why is this user data collected? Choose the most precise answer.",Advertising or marketing,Advertising or marketing,3,1,3,3,1,0
640,Q878,5ea171c1a8782801263e7540,"Data usage scenario: Our app shares the user's information with advertising partners to select ads of interest to each user. 

Why is this user data collected? Choose the most precise answer.",Advertising or marketing,Advertising or marketing,3,1,3,3,1,0
645,Q879,60e89af0e29741df45bbef1f,"Data usage scenario: Our app utilizes the user device's MAC address in order to isolate suspicious login attempts from new devices. 

Why is this user data collected? Choose the most precise answer.","Fraud prevention, security, and compliance","Fraud prevention, security, and compliance",3,1,4,4,1,0
646,Q879,5ea171c1a8782801263e7540,"Data usage scenario: Our app utilizes the user device's MAC address in order to isolate suspicious login attempts from new devices. 

Why is this user data collected? Choose the most precise answer.","Fraud prevention, security, and compliance","Fraud prevention, security, and compliance",3,1,4,4,1,0
651,Q880,60e89af0e29741df45bbef1f,"Data usage scenario: Our shopping app collects data related to the user's previous purchases to suggest new products on our site that might appeal to them. 

Why is this user data collected? Choose the most precise answer.",Advertising or marketing,Personalization,3,1,3,5,0,-1
652,Q880,5ea171c1a8782801263e7540,"Data usage scenario: Our shopping app collects data related to the user's previous purchases to suggest new products on our site that might appeal to them. 

Why is this user data collected? Choose the most precise answer.",Advertising or marketing,Personalization,3,1,3,5,0,-1
657,Q881,60e89af0e29741df45bbef1f,"Data usage scenario: Our podcast app collects data about podcasts each user has listened to in order to suggest podcasts the user might like.

Why is this user data collected? Choose the most precise answer.",Advertising or marketing,Personalization,3,1,3,5,0,-1
658,Q881,5ea171c1a8782801263e7540,"Data usage scenario: Our podcast app collects data about podcasts each user has listened to in order to suggest podcasts the user might like.

Why is this user data collected? Choose the most precise answer.",Advertising or marketing,Personalization,3,1,3,5,0,-1
663,Q882,60e89af0e29741df45bbef1f,"Data usage scenario: Our weather app utilizes the user's location data to deliver information related to the air quality in their current area. 

Why is this user data collected? Choose the most precise answer.",App functionality,Personalization,3,1,0,5,0,-1
664,Q882,5ea171c1a8782801263e7540,"Data usage scenario: Our weather app utilizes the user's location data to deliver information related to the air quality in their current area. 

Why is this user data collected? Choose the most precise answer.",App functionality,Personalization,3,1,0,5,0,-1
669,Q883,60e89af0e29741df45bbef1f,"Data usage scenario: Our app requires that the user provide their phone number, home address, and birthday in order to create a new in-app account. 

Why is this user data collected? Choose the most precise answer.",Account management,Account management,3,1,6,6,1,0
670,Q883,5ea171c1a8782801263e7540,"Data usage scenario: Our app requires that the user provide their phone number, home address, and birthday in order to create a new in-app account. 

Why is this user data collected? Choose the most precise answer.",Account management,Account management,3,1,6,6,1,0
675,Q884,60e89af0e29741df45bbef1f,"Data usage scenario: Our app collects the user's email in order to allow the user to update the account ID they use across all apps created by the same developer. 

Why is this user data collected? Choose the most precise answer.",Account management,Account management,3,1,6,6,1,0
676,Q884,5ea171c1a8782801263e7540,"Data usage scenario: Our app collects the user's email in order to allow the user to update the account ID they use across all apps created by the same developer. 

Why is this user data collected? Choose the most precise answer.",Developer communications,Account management,3,1,2,6,0,-1
681,Q885,60e89af0e29741df45bbef1f,"Data usage scenario: Our app requests that the user provide their email address in order to validate their identity for account creation.   

Why is this user data collected? Choose the most precise answer.",Account management,Account management,3,1,6,6,1,0
682,Q885,5ea171c1a8782801263e7540,"Data usage scenario: Our app requests that the user provide their email address in order to validate their identity for account creation.   

Why is this user data collected? Choose the most precise answer.",Account management,Account management,3,1,6,6,1,0
685,Q205,61003e522bc23b7b3f65a8c0,"Data usage scenario: Our app accesses GPS location and sends it to a third party server.



Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.

View definitions and exemptions",Both,Both,1,2,2,2,1,0
690,Q278,6081f2ada1056056b09872c1,"Data usage scenario: Our app accesses GPS location and sends it to our server.



Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.

View definitions and exemptions",Collected,Collected,1,2,0,0,1,0
697,Q279,61003e522bc23b7b3f65a8c0,"Data usage scenario: We send the user's GPS location stored on our server to a third party server.




Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.

View definitions and exemptions",Both,Both,1,2,2,2,1,0
702,Q280,6081f2ada1056056b09872c1,"Data usage scenario: Our app accesses GPS location and sends it to another app directly on the device. The data never leaves the device.
(This is feasible because an app can use an Intent to perform some basic interactions with other apps, including sending data) 



Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.

View definitions and exemptions",Shared,Shared,1,2,1,1,1,0
708,Q281,6081f2ada1056056b09872c1,"Data usage scenario: Our app accesses GPS location and sends it to our server via libraries and/or SDKs included in our app.



Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.

View definitions and exemptions",Collected,Collected,1,2,0,0,1,0
715,Q282,61003e522bc23b7b3f65a8c0,"Data usage scenario: Our app accesses GPS location and sends it directly to a third party server via libraries and/or SDKs included in our app.



Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.

View definitions and exemptions",Both,Both,1,2,2,2,1,0
721,Q283,61003e522bc23b7b3f65a8c0,"Data usage scenario: Our app encrypts the user’s message before it is sent to another user, where it is decrypted.




Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.

View definitions and exemptions",Neither,Neither,1,2,3,3,1,0
726,Q284,6081f2ada1056056b09872c1,"Data usage scenario: Our app encrypts the user’s bank account information and sends it to our server.




Is this data collected, shared, both, or neither? Choose the most precise answer.. Some types of data collection and sharing are exempt.

View definitions and exemptions",Collected,Collected,1,2,0,0,1,0
733,Q285,61003e522bc23b7b3f65a8c0,"Data usage scenario: Our app directly opens our own website in a webview, our website then accesses the user's GPS location through the webview, and sends it to our server.



Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.

View definitions and exemptions",Collected,Collected,1,2,0,0,1,0
738,Q286,6081f2ada1056056b09872c1,"Data usage scenario: Our app allows users to navigate the open web via a webview. When the user opens google.com, it accesses the user's GPS location and sends the GPS location to Google's server.



Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.

View definitions and exemptions",Shared,Neither,1,2,1,3,0,-1
744,Q287,6081f2ada1056056b09872c1,"Data usage scenario: Our app directly opens our own website in a webview, our website accesses the GPS location through the webview, and sends it to a third party server.



Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.

View definitions and exemptions",Shared,Both,1,2,1,2,0,-1
756,Q289,6081f2ada1056056b09872c1,"Data usage scenario: Our app's user explicitly initiates an action that sends their full name to a third party server.




Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.

View definitions and exemptions",Both,Collected,1,2,2,0,0,1
763,Q290,61003e522bc23b7b3f65a8c0,"Data usage scenario: Our app sends the user's full name to a third party server after obtaining the user's consent to it.




Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.

View definitions and exemptions",Shared,Collected,1,2,1,0,0,1
768,Q291,6081f2ada1056056b09872c1,"Data usage scenario: Our app sends the user's medical records that have been fully anonymized to a third party server.




Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.

View definitions and exemptions",Collected,Collected,1,2,0,0,1,0
775,Q292,61003e522bc23b7b3f65a8c0,"Data usage scenario: Our app accesses and processes the user's GPS location directly on the user’s device. The data never leaves the device.




Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.

View definitions and exemptions",Collected,Neither,1,2,0,3,0,-1
780,Q293,6081f2ada1056056b09872c1,"Data usage scenario: Our app sends the user's GPS location to our server to search for nearby places but does not store the GPS location after serving the request.




Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.

View definitions and exemptions",Collected,Collected,1,2,0,0,1,0
787,Q294,61003e522bc23b7b3f65a8c0,"Data usage scenario: Our app requests for the user's full name and only sends the pseudonymized name to our server. (A pseudonymized name does not allow the individual to be directly identified, but it can be re-associated with the user if additional information is provided)



Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.

View definitions and exemptions",Collected,Collected,1,2,0,0,1,0
792,QID300,6081f2ada1056056b09872c1,"Data usage scenario: Our app accesses the user’s GPS location and sends it to government agencies in response to a legal request.




Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.

View definitions and exemptions",Collected,Collected,1,2,0,0,1,0
798,Q296,6081f2ada1056056b09872c1,"Data usage scenario: Our app asks for a user's birthday for marketing communication, but that info is not required – the user can still sign up without providing that information.



Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.

View definitions and exemptions",Both,Collected,1,2,2,0,0,1
799,Q296,61003e522bc23b7b3f65a8c0,"Data usage scenario: Our app asks for a user's birthday for marketing communication, but that info is not required – the user can still sign up without providing that information.



Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.

View definitions and exemptions",Collected,Collected,1,2,0,0,1,0
805,Q297,61003e522bc23b7b3f65a8c0,"Data usage scenario: Our app accesses GPS location and sends it off the device to Google Maps to get real-time traffic updates. (Assume that Google doesn't use the GPS location for other purposes)



Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.

View definitions and exemptions",Collected,Collected,1,2,0,0,1,0
811,Q298,61003e522bc23b7b3f65a8c0,"Data usage scenario: Our app accesses GPS location and stores it on Google's server using Google Cloud Storage. (Assume that Google doesn't use the GPS location for other purposes)



Is this data collected, shared, both, or neither? Choose the most precise answer. Some types of data collection and sharing are exempt.

View definitions and exemptions",Collected,Collected,1,2,0,0,1,0
816,Q327,6081f2ada1056056b09872c1,"Our app collects: user/device physical location to area greater than or equal to three square kilometers.

Select the user data type that best fits the data collected or shared by your app.  Learn more",Location,Location,2,2,0,0,1,0
829,Q329,61003e522bc23b7b3f65a8c0,"Our app collects: user or device physical location within an area less than 3 square kilometers.

Select the user data type that best fits the data collected or shared by your app.  Learn more",Location,Location,2,2,0,0,1,0
865,Q401,61003e522bc23b7b3f65a8c0,"Our app collects: the user's account number.

Select the user data type that best fits the data collected or shared by your app. Learn more",Personal Information,Personal Information,2,2,1,1,1,0
888,Q405,6081f2ada1056056b09872c1,"Our app collects: the user's political beliefs.

Select the user data type that best fits the data collected or shared by your app. Learn more",Personal Information,Personal Information,2,2,1,1,1,0
900,Q407,6081f2ada1056056b09872c1,"Our app collects: the user's sexual orientation.

Select the user data type that best fits the data collected or shared by your app. Learn more",Health and Fitness,Personal Information,2,2,3,1,0,1
919,Q410,61003e522bc23b7b3f65a8c0,"Our app collects: the user's veteran status.

Select the user data type that best fits the data collected or shared by your app. Learn more",Personal Information,Personal Information,2,2,1,1,1,0
948,Q415,6081f2ada1056056b09872c1,"Our app collects: the user's credit score.

Select the user data type that best fits the data collected or shared by your app. Learn more",Financial Information,Financial Information,2,2,2,2,1,0
961,Q629.1,61003e522bc23b7b3f65a8c0,"Our app collects: the user's debts.

Select the user data type that best fits the data collected or shared by your app. Learn more",Financial Information,Financial Information,2,2,2,2,1,0
972,Q970,6081f2ada1056056b09872c1,"Our app collects: the user's medical records.

Select the user data type that best fits the data collected or shared by your app. Learn more",Personal Information,Health and Fitness,2,2,1,3,0,-1
985,Q972,61003e522bc23b7b3f65a8c0,"Our app collects: the user's reported exercise/physical activity.

Select the user data type that best fits the data collected or shared by your app. Learn more",Health and Fitness,Health and Fitness,2,2,3,3,1,0
990,Q973,6081f2ada1056056b09872c1,"Our app collects: the subject line of an email sent or received by the user.

Select the user data type that best fits the data collected or shared by your app. Learn more",None of the Above,Messages,2,2,14,4,0,1
1003,Q975,61003e522bc23b7b3f65a8c0,"Our app collects: the recipients of an email sent by the user.

Select the user data type that best fits the data collected or shared by your app. Learn more",Contacts,Messages,2,2,9,4,0,1
1015,Q978,61003e522bc23b7b3f65a8c0,"Our app collects: the content of a SMS and MMS message sent or received by the user.

Select the user data type that best fits the data collected or shared by your app. Learn more",Messages,Messages,2,2,4,4,1,0
1039,Q982,61003e522bc23b7b3f65a8c0,"Our app collects: the user's photos.

Select the user data type that best fits the data collected or shared by your app. Learn more",Photos or Videos,Photos or Videos,2,2,5,5,1,0
1063,Q986,61003e522bc23b7b3f65a8c0,"Our app collects: sound recordings created by the user.

Select the user data type that best fits the data collected or shared by your app. Learn more",Audio Files,Audio Files,2,2,6,6,1,0
1074,Q988,6081f2ada1056056b09872c1,"Our app collects: the user's documents.

Select the user data type that best fits the data collected or shared by your app. Learn more",Files and docs,Files and docs,2,2,7,7,1,0
1111,Q994,61003e522bc23b7b3f65a8c0,"Our app collects: the user's message history with their contacts.

Select the user data type that best fits the data collected or shared by your app. Learn more",Messages,Contacts,2,2,4,9,0,-1
1134,Q998,6081f2ada1056056b09872c1,"Our app collects: information related to the user's  interaction duration with their contacts.

Select the user data type that best fits the data collected or shared by your app. Learn more",Contacts,Contacts,2,2,9,9,1,0
1140,Q999,6081f2ada1056056b09872c1,"Our app collects: the user's call history.

Select the user data type that best fits the data collected or shared by your app. Learn more",None of the Above,Contacts,2,2,14,9,0,1
1146,Q1000,6081f2ada1056056b09872c1,"Our app collects: number of page views by the user in the app.

Select the user data type that best fits the data collected or shared by your app. Learn more",App Activity,App Activity,2,2,10,10,1,0
